"hgnc_symbol","ensembl_gene_id","description","external_gene_name","gene_biotype","chromosome_name","affy_hg_u133_plus_2"
"TGFB1I1","ENSG00000140682","transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:HGNC:11767]","TGFB1I1","protein_coding","16",""
"RCAN2","ENSG00000172348","regulator of calcineurin 2 [Source:HGNC Symbol;Acc:HGNC:3041]","RCAN2","protein_coding","6","203498_at"
"HELB","ENSG00000127311","DNA helicase B [Source:HGNC Symbol;Acc:HGNC:17196]","HELB","protein_coding","12","1552787_at"
"EFR3A","ENSG00000132294","EFR3 homolog A [Source:HGNC Symbol;Acc:HGNC:28970]","EFR3A","protein_coding","8","212149_at"
"ZSCAN16","ENSG00000196812","zinc finger and SCAN domain containing 16 [Source:HGNC Symbol;Acc:HGNC:20813]","ZSCAN16","protein_coding","6","219676_at"
"CREG2","ENSG00000175874","cellular repressor of E1A stimulated genes 2 [Source:HGNC Symbol;Acc:HGNC:14272]","CREG2","protein_coding","2","231489_x_at"
"SKIL","ENSG00000136603","SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]","SKIL","protein_coding","3",""
"NXT1","ENSG00000132661","nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913]","NXT1","protein_coding","20","218708_at"
NA,NA,NA,NA,NA,NA,NA
"PLEKHG2","ENSG00000090924","pleckstrin homology and RhoGEF domain containing G2 [Source:HGNC Symbol;Acc:HGNC:29515]","PLEKHG2","protein_coding","19","233986_s_at"
"C1orf174","ENSG00000198912","chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]","C1orf174","protein_coding","1","238010_at"
"LINC00865","ENSG00000232229","long intergenic non-protein coding RNA 865 [Source:HGNC Symbol;Acc:HGNC:45170]","LINC00865","lncRNA","10","232239_at"
"NCAPG","ENSG00000109805","non-SMC condensin I complex subunit G [Source:HGNC Symbol;Acc:HGNC:24304]","NCAPG","protein_coding","4","218662_s_at"
"TIPIN","ENSG00000075131","TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750]","TIPIN","protein_coding","15","219258_at"
"ZNF440","ENSG00000171295","zinc finger protein 440 [Source:HGNC Symbol;Acc:HGNC:20874]","ZNF440","protein_coding","19","241731_x_at"
"IFT80","ENSG00000068885","intraflagellar transport 80 [Source:HGNC Symbol;Acc:HGNC:29262]","IFT80","protein_coding","3","1558956_s_at"
"RFPL3","ENSG00000128276","ret finger protein like 3 [Source:HGNC Symbol;Acc:HGNC:9980]","RFPL3","protein_coding","22","207936_x_at"
"AIG1","ENSG00000146416","androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:21607]","AIG1","protein_coding","6",""
"DOCK7","ENSG00000116641","dedicator of cytokinesis 7 [Source:HGNC Symbol;Acc:HGNC:19190]","DOCK7","protein_coding","1","225384_at"
"PSMD11","ENSG00000108671","proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]","PSMD11","protein_coding","17","208776_at"
"GUCY1B2","ENSG00000123201","guanylate cyclase 1 soluble subunit beta 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4686]","GUCY1B2","transcribed_unitary_pseudogene","13","220506_at"
"ZNF846","ENSG00000196605","zinc finger protein 846 [Source:HGNC Symbol;Acc:HGNC:27260]","ZNF846","protein_coding","19","1564331_at"
"CYP27A1","ENSG00000135929","cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]","CYP27A1","protein_coding","2","203979_at"
"SLC35B1","ENSG00000121073","solute carrier family 35 member B1 [Source:HGNC Symbol;Acc:HGNC:20798]","SLC35B1","protein_coding","17","202433_at"
"TTN","ENSG00000155657","titin [Source:HGNC Symbol;Acc:HGNC:12403]","TTN","protein_coding","2","1557994_at"
"TMEM251","ENSG00000275947","transmembrane protein 251 [Source:HGNC Symbol;Acc:HGNC:20218]","TMEM251","protein_coding","CHR_HSCHR14_7_CTG1","213246_at"
"ZNF669","ENSG00000188295","zinc finger protein 669 [Source:HGNC Symbol;Acc:HGNC:25736]","ZNF669","protein_coding","1","220215_at"
"DHX38","ENSG00000140829","DEAH-box helicase 38 [Source:HGNC Symbol;Acc:HGNC:17211]","DHX38","protein_coding","16",""
"PREP","ENSG00000085377","prolyl endopeptidase [Source:HGNC Symbol;Acc:HGNC:9358]","PREP","protein_coding","6","204117_at"
NA,NA,NA,NA,NA,NA,NA
"FDPS","ENSG00000160752","farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]","FDPS","protein_coding","1","201275_at"
NA,NA,NA,NA,NA,NA,NA
"CDH22","ENSG00000149654","cadherin 22 [Source:HGNC Symbol;Acc:HGNC:13251]","CDH22","protein_coding","20","215181_at"
"SMC2","ENSG00000136824","structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]","SMC2","protein_coding","9",""
"SNX21","ENSG00000124104","sorting nexin family member 21 [Source:HGNC Symbol;Acc:HGNC:16154]","SNX21","protein_coding","20","226595_at"
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"SGMS1","ENSG00000198964","sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799]","SGMS1","protein_coding","10","212989_at"
"PEX6","ENSG00000124587","peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]","PEX6","protein_coding","6","320_at"
"SERINC1","ENSG00000111897","serine incorporator 1 [Source:HGNC Symbol;Acc:HGNC:13464]","SERINC1","protein_coding","6","208671_at"
NA,NA,NA,NA,NA,NA,NA
"MAP9","ENSG00000164114","microtubule associated protein 9 [Source:HGNC Symbol;Acc:HGNC:26118]","MAP9","protein_coding","4","239415_at"
"MIB2","ENSG00000197530","MIB E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577]","MIB2","protein_coding","1","228261_at"
"TSPAN15","ENSG00000099282","tetraspanin 15 [Source:HGNC Symbol;Acc:HGNC:23298]","TSPAN15","protein_coding","10","218693_at"
"MFAP3L","ENSG00000198948","microfibril associated protein 3 like [Source:HGNC Symbol;Acc:HGNC:29083]","MFAP3L","protein_coding","4","205442_at"
NA,NA,NA,NA,NA,NA,NA
"HPR","ENSG00000261701","haptoglobin-related protein [Source:HGNC Symbol;Acc:HGNC:5156]","HPR","protein_coding","16","208471_at"
"RRP8","ENSG00000132275","ribosomal RNA processing 8 [Source:HGNC Symbol;Acc:HGNC:29030]","RRP8","protein_coding","11","203171_s_at"
"RNF220","ENSG00000187147","ring finger protein 220 [Source:HGNC Symbol;Acc:HGNC:25552]","RNF220","protein_coding","1","219988_s_at"
"PPM1N","ENSG00000213889","protein phosphatase, Mg2+/Mn2+ dependent 1N (putative) [Source:HGNC Symbol;Acc:HGNC:26845]","PPM1N","protein_coding","19","229559_at"
"ARMCX4","ENSG00000196440","armadillo repeat containing X-linked 4 [Source:HGNC Symbol;Acc:HGNC:28615]","ARMCX4","protein_coding","X","207799_x_at"
"FBXL18","ENSG00000155034","F-box and leucine rich repeat protein 18 [Source:HGNC Symbol;Acc:HGNC:21874]","FBXL18","protein_coding","7","1553361_x_at"
"HOXC8","ENSG00000037965","homeobox C8 [Source:HGNC Symbol;Acc:HGNC:5129]","HOXC8","protein_coding","12","221350_at"
"ZNF274","ENSG00000171606","zinc finger protein 274 [Source:HGNC Symbol;Acc:HGNC:13068]","ZNF274","protein_coding","19","204937_s_at"
"DCP2","ENSG00000172795","decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]","DCP2","protein_coding","5","235258_at"
NA,NA,NA,NA,NA,NA,NA
"RHBG","ENSG00000132677","Rh family B glycoprotein [Source:HGNC Symbol;Acc:HGNC:14572]","RHBG","protein_coding","1","220510_at"
"VPS25","ENSG00000131475","vacuolar protein sorting 25 homolog [Source:HGNC Symbol;Acc:HGNC:28122]","VPS25","protein_coding","17","224608_s_at"
"KIF19","ENSG00000196169","kinesin family member 19 [Source:HGNC Symbol;Acc:HGNC:26735]","KIF19","protein_coding","17",""
"TCN2","ENSG00000185339","transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]","TCN2","protein_coding","22",""
"DDX51","ENSG00000288503","DEAD-box helicase 51 [Source:HGNC Symbol;Acc:HGNC:20082]","DDX51","protein_coding","CHR_HG2246_HG2248_HG2276_PATCH","1554085_at"
"GGA2","ENSG00000103365","golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]","GGA2","protein_coding","16","208915_s_at"
"TUBA3C","ENSG00000198033","tubulin alpha 3c [Source:HGNC Symbol;Acc:HGNC:12408]","TUBA3C","protein_coding","13","210527_x_at"
"CHMP4B","ENSG00000101421","charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]","CHMP4B","protein_coding","20","225498_at"
"FUT4","ENSG00000196371","fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]","FUT4","protein_coding","11","209892_at"
"PBLD","ENSG00000108187","phenazine biosynthesis like protein domain containing [Source:HGNC Symbol;Acc:HGNC:23301]","PBLD","protein_coding","10","1555175_a_at"
NA,NA,NA,NA,NA,NA,NA
"EHMT1","ENSG00000181090","euchromatic histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24650]","EHMT1","protein_coding","9","225461_at"
"PRKCD","ENSG00000163932","protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]","PRKCD","protein_coding","3",""
"TNFAIP2","ENSG00000185215","TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]","TNFAIP2","protein_coding","14","202510_s_at"
"ADAD2","ENSG00000140955","adenosine deaminase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30714]","ADAD2","protein_coding","16","236463_at"
"SERPING1","ENSG00000149131","serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]","SERPING1","protein_coding","11",""
"GPR158","ENSG00000151025","G protein-coupled receptor 158 [Source:HGNC Symbol;Acc:HGNC:23689]","GPR158","protein_coding","10","232195_at"
"RMDN3","ENSG00000137824","regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550]","RMDN3","protein_coding","15","218126_at"
"TP53TG1","ENSG00000182165","TP53 target 1 [Source:HGNC Symbol;Acc:HGNC:17026]","TP53TG1","lncRNA","7","210241_s_at"
"MFN2","ENSG00000116688","mitofusin 2 [Source:HGNC Symbol;Acc:HGNC:16877]","MFN2","protein_coding","1","216205_s_at"
"SLC31A1","ENSG00000136868","solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]","SLC31A1","protein_coding","9","203971_at"
"SUSD3","ENSG00000157303","sushi domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28391]","SUSD3","protein_coding","9","227182_at"
"C3orf52","ENSG00000285394","chromosome 3 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:26255]","C3orf52","protein_coding","CHR_HSCHR3_6_CTG2_1",""
"UBB","ENSG00000170315","ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]","UBB","protein_coding","17","200633_at"
"HAT1","ENSG00000128708","histone acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4821]","HAT1","protein_coding","2","203138_at"
"RPL10","ENSG00000147403","ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]","RPL10","protein_coding","X","221989_at"
"NAA25","ENSG00000111300","N-alpha-acetyltransferase 25, NatB auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:25783]","NAA25","protein_coding","12","227245_at"
"BST2","ENSG00000130303","bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]","BST2","protein_coding","19","201641_at"
"NFKBIA","ENSG00000100906","NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]","NFKBIA","protein_coding","14","201502_s_at"
"IL5","ENSG00000113525","interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]","IL5","protein_coding","5","207952_at"
"TTPAL","ENSG00000124120","alpha tocopherol transfer protein like [Source:HGNC Symbol;Acc:HGNC:16114]","TTPAL","protein_coding","20","219633_at"
"DNAJB12","ENSG00000148719","DnaJ heat shock protein family (Hsp40) member B12 [Source:HGNC Symbol;Acc:HGNC:14891]","DNAJB12","protein_coding","10","202866_at"
"THAP7","ENSG00000184436","THAP domain containing 7 [Source:HGNC Symbol;Acc:HGNC:23190]","THAP7","protein_coding","22","218492_s_at"
NA,NA,NA,NA,NA,NA,NA
"ETAA1","ENSG00000143971","ETAA1 activator of ATR kinase [Source:HGNC Symbol;Acc:HGNC:24648]","ETAA1","protein_coding","2","219216_at"
"SRL","ENSG00000185739","sarcalumenin [Source:HGNC Symbol;Acc:HGNC:11295]","SRL","protein_coding","16","235718_at"
"LGALS1","ENSG00000100097","galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]","LGALS1","protein_coding","22","201105_at"
"HILPDA","ENSG00000135245","hypoxia inducible lipid droplet associated [Source:HGNC Symbol;Acc:HGNC:28859]","HILPDA","protein_coding","7","1554452_a_at"
"ALYREF","ENSG00000183684","Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]","ALYREF","protein_coding","17","226320_at"
"SLC12A5","ENSG00000124140","solute carrier family 12 member 5 [Source:HGNC Symbol;Acc:HGNC:13818]","SLC12A5","protein_coding","20",""
"CCL21","ENSG00000137077","C-C motif chemokine ligand 21 [Source:HGNC Symbol;Acc:HGNC:10620]","CCL21","protein_coding","9","204606_at"
"GOT1","ENSG00000120053","glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]","GOT1","protein_coding","10","208813_at"
"FOXC1","ENSG00000054598","forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]","FOXC1","protein_coding","6","213260_at"
"VPREB3","ENSG00000128218","V-set pre-B cell surrogate light chain 3 [Source:HGNC Symbol;Acc:HGNC:12710]","VPREB3","protein_coding","22","220068_at"
"PEX5","ENSG00000288217","peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]","PEX5","protein_coding","CHR_HG1398_PATCH",""
"DDX54","ENSG00000123064","DEAD-box helicase 54 [Source:HGNC Symbol;Acc:HGNC:20084]","DDX54","protein_coding","12","225428_s_at"
"HABP4","ENSG00000130956","hyaluronan binding protein 4 [Source:HGNC Symbol;Acc:HGNC:17062]","HABP4","protein_coding","9","233919_s_at"
NA,NA,NA,NA,NA,NA,NA
"GABRR2","ENSG00000111886","gamma-aminobutyric acid type A receptor subunit rho2 [Source:HGNC Symbol;Acc:HGNC:4091]","GABRR2","protein_coding","6","208217_at"
"ZNF808","ENSG00000198482","zinc finger protein 808 [Source:HGNC Symbol;Acc:HGNC:33230]","ZNF808","protein_coding","19",""
"AGAP1","ENSG00000157985","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]","AGAP1","protein_coding","2",""
"AHCYL2","ENSG00000158467","adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204]","AHCYL2","protein_coding","7","212814_at"
"DCLK2","ENSG00000170390","doublecortin like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19002]","DCLK2","protein_coding","4","227666_at"
NA,NA,NA,NA,NA,NA,NA
"GLUD2","ENSG00000288118","glutamate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4336]","GLUD2","protein_coding","CHR_HG439_PATCH","215794_x_at"
"FZD6","ENSG00000164930","frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]","FZD6","protein_coding","8","203987_at"
"ST7","ENSG00000004866","suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]","ST7","protein_coding","7","207871_s_at"
"NFKB2","ENSG00000077150","nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]","NFKB2","protein_coding","10",""
"MDC1","ENSG00000224587","mediator of DNA damage checkpoint 1 [Source:HGNC Symbol;Acc:HGNC:21163]","MDC1","protein_coding","CHR_HSCHR6_MHC_COX_CTG1","203061_s_at"
"SYTL2","ENSG00000137501","synaptotagmin like 2 [Source:HGNC Symbol;Acc:HGNC:15585]","SYTL2","protein_coding","11","232914_s_at"
"STRN3","ENSG00000196792","striatin 3 [Source:HGNC Symbol;Acc:HGNC:15720]","STRN3","protein_coding","14","204496_at"
"TAC3","ENSG00000166863","tachykinin precursor 3 [Source:HGNC Symbol;Acc:HGNC:11521]","TAC3","protein_coding","12","219992_at"
"VAV2","ENSG00000160293","vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]","VAV2","protein_coding","9","205536_at"
"SYT8","ENSG00000288149","synaptotagmin 8 [Source:HGNC Symbol;Acc:HGNC:19264]","SYT8","protein_coding","CHR_HG28_PATCH",""
NA,NA,NA,NA,NA,NA,NA
"PCDHB4","ENSG00000081818","protocadherin beta 4 [Source:HGNC Symbol;Acc:HGNC:8689]","PCDHB4","protein_coding","5","231750_at"
"TMPRSS11B","ENSG00000185873","transmembrane serine protease 11B [Source:HGNC Symbol;Acc:HGNC:25398]","TMPRSS11B","protein_coding","4","1560712_at"
"ADCY10P1","ENSG00000161912","ADCY10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44143]","ADCY10P1","transcribed_unprocessed_pseudogene","6","233959_at"
"CLECL1","ENSG00000184293","C-type lectin like 1 [Source:HGNC Symbol;Acc:HGNC:24462]","CLECL1","protein_coding","12","1561899_at"
NA,NA,NA,NA,NA,NA,NA
"ZNF200","ENSG00000010539","zinc finger protein 200 [Source:HGNC Symbol;Acc:HGNC:12993]","ZNF200","protein_coding","16","214706_at"
"KIF11","ENSG00000138160","kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]","KIF11","protein_coding","10","204444_at"
"C14orf119","ENSG00000179933","chromosome 14 open reading frame 119 [Source:HGNC Symbol;Acc:HGNC:20270]","C14orf119","protein_coding","14","223060_at"
"ADORA1","ENSG00000163485","adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]","ADORA1","protein_coding","1","216220_s_at"
NA,NA,NA,NA,NA,NA,NA
"SEC14L1","ENSG00000129657","SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]","SEC14L1","protein_coding","17",""
"LRRC37A3","ENSG00000275621","leucine rich repeat containing 37 member A3 [Source:HGNC Symbol;Acc:HGNC:32427]","LRRC37A3","protein_coding","CHR_HSCHR17_1_CTG5","220219_s_at"
"CALML6","ENSG00000169885","calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]","CALML6","protein_coding","1","1552402_at"
NA,NA,NA,NA,NA,NA,NA
"EMID1","ENSG00000186998","EMI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18036]","EMID1","protein_coding","22","213779_at"
"SLFN13","ENSG00000154760","schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]","SLFN13","protein_coding","17","1553423_a_at"
"PRSS37","ENSG00000165076","serine protease 37 [Source:HGNC Symbol;Acc:HGNC:29211]","PRSS37","protein_coding","7","231572_at"
"TM4SF1","ENSG00000169908","transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]","TM4SF1","protein_coding","3","215034_s_at"
"RGS7BP","ENSG00000186479","regulator of G protein signaling 7 binding protein [Source:HGNC Symbol;Acc:HGNC:23271]","RGS7BP","protein_coding","5",""
NA,NA,NA,NA,NA,NA,NA
"KLHL28","ENSG00000179454","kelch like family member 28 [Source:HGNC Symbol;Acc:HGNC:19741]","KLHL28","protein_coding","14","235727_at"
"VTI1A","ENSG00000151532","vesicle transport through interaction with t-SNAREs 1A [Source:HGNC Symbol;Acc:HGNC:17792]","VTI1A","protein_coding","10","242356_at"
"GAP43","ENSG00000172020","growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]","GAP43","protein_coding","3","204471_at"
"POLR2J","ENSG00000005075","RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]","POLR2J","protein_coding","7","212782_x_at"
NA,NA,NA,NA,NA,NA,NA
"ATG12","ENSG00000145782","autophagy related 12 [Source:HGNC Symbol;Acc:HGNC:588]","ATG12","protein_coding","5","213930_at"
"CDK19","ENSG00000155111","cyclin dependent kinase 19 [Source:HGNC Symbol;Acc:HGNC:19338]","CDK19","protein_coding","6","211706_s_at"
"FNDC3B","ENSG00000075420","fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]","FNDC3B","protein_coding","3","229865_at"
"CDR2","ENSG00000140743","cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]","CDR2","protein_coding","16","209501_at"
"SDR39U1","ENSG00000100445","short chain dehydrogenase/reductase family 39U member 1 [Source:HGNC Symbol;Acc:HGNC:20275]","SDR39U1","protein_coding","14","213398_s_at"
"MAP6D1","ENSG00000180834","MAP6 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25753]","MAP6D1","protein_coding","3","221713_s_at"
"MAML2","ENSG00000184384","mastermind like transcriptional coactivator 2 [Source:HGNC Symbol;Acc:HGNC:16259]","MAML2","protein_coding","11","235457_at"
"ERP29","ENSG00000089248","endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]","ERP29","protein_coding","12","201216_at"
"MRPL34","ENSG00000130312","mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488]","MRPL34","protein_coding","19","221692_s_at"
"OR1F1","ENSG00000168124","olfactory receptor family 1 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8194]","OR1F1","protein_coding","16","221402_at"
"PRRG3","ENSG00000130032","proline rich and Gla domain 3 [Source:HGNC Symbol;Acc:HGNC:30798]","PRRG3","protein_coding","X","229118_at"
"ITM2C","ENSG00000135916","integral membrane protein 2C [Source:HGNC Symbol;Acc:HGNC:6175]","ITM2C","protein_coding","2",""
"FNBP1","ENSG00000187239","formin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17069]","FNBP1","protein_coding","9","213940_s_at"
"TBC1D17","ENSG00000104946","TBC1 domain family member 17 [Source:HGNC Symbol;Acc:HGNC:25699]","TBC1D17","protein_coding","19","218466_at"
"PABPC4L","ENSG00000254535","poly(A) binding protein cytoplasmic 4 like [Source:HGNC Symbol;Acc:HGNC:31955]","PABPC4L","protein_coding","4","238865_at"
"PHF5A","ENSG00000100410","PHD finger protein 5A [Source:HGNC Symbol;Acc:HGNC:18000]","PHF5A","protein_coding","22","225309_at"
"CCDC38","ENSG00000165972","coiled-coil domain containing 38 [Source:HGNC Symbol;Acc:HGNC:26843]","CCDC38","protein_coding","12",""
"HSD3B7","ENSG00000099377","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]","HSD3B7","protein_coding","16","222817_at"
"COQ10A","ENSG00000135469","coenzyme Q10A [Source:HGNC Symbol;Acc:HGNC:26515]","COQ10A","protein_coding","12",""
"LDLR","ENSG00000130164","low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]","LDLR","protein_coding","19","217173_s_at"
"POSTN","ENSG00000133110","periostin [Source:HGNC Symbol;Acc:HGNC:16953]","POSTN","protein_coding","13","210809_s_at"
"CA13","ENSG00000185015","carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]","CA13","protein_coding","8",""
"MCAT","ENSG00000100294","malonyl-CoA-acyl carrier protein transacylase [Source:HGNC Symbol;Acc:HGNC:29622]","MCAT","protein_coding","22","213132_s_at"
"ARID5A","ENSG00000196843","AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]","ARID5A","protein_coding","2",""
"SCOC","ENSG00000153130","short coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:20335]","SCOC","protein_coding","4","223341_s_at"
NA,NA,NA,NA,NA,NA,NA
"RFC4","ENSG00000163918","replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]","RFC4","protein_coding","3","204023_at"
"GPNMB","ENSG00000136235","glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]","GPNMB","protein_coding","7",""
"NSUN3","ENSG00000178694","NOP2/Sun RNA methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:26208]","NSUN3","protein_coding","3","1568913_at"
"WDR1","ENSG00000071127","WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]","WDR1","protein_coding","4","210935_s_at"
"PEPD","ENSG00000124299","peptidase D [Source:HGNC Symbol;Acc:HGNC:8840]","PEPD","protein_coding","19","202108_at"
NA,NA,NA,NA,NA,NA,NA
"FEM1A","ENSG00000141965","fem-1 homolog A [Source:HGNC Symbol;Acc:HGNC:16934]","FEM1A","protein_coding","19","230853_at"
"ILK","ENSG00000166333","integrin linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]","ILK","protein_coding","11","201234_at"
NA,NA,NA,NA,NA,NA,NA
"ZNF430","ENSG00000278780","zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]","ZNF430","protein_coding","CHR_HSCHR19_1_CTG2",""
"DYNC1I1","ENSG00000158560","dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963]","DYNC1I1","protein_coding","7","205348_s_at"
"DCTN1","ENSG00000204843","dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]","DCTN1","protein_coding","2","201082_s_at"
"PSD2","ENSG00000146005","pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]","PSD2","protein_coding","5","223536_at"
"SMOC1","ENSG00000198732","SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]","SMOC1","protein_coding","14",""
"SPOP","ENSG00000121067","speckle type BTB/POZ protein [Source:HGNC Symbol;Acc:HGNC:11254]","SPOP","protein_coding","17","238923_at"
"NSUN5P1","ENSG00000223705","NSUN5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19146]","NSUN5P1","transcribed_unprocessed_pseudogene","7",""
NA,NA,NA,NA,NA,NA,NA
"CELF1","ENSG00000149187","CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]","CELF1","protein_coding","11","221742_at"
"FAM104B","ENSG00000182518","family with sequence similarity 104 member B [Source:HGNC Symbol;Acc:HGNC:25085]","FAM104B","protein_coding","X","232990_at"
"NFATC4","ENSG00000285485","nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]","NFATC4","protein_coding","CHR_HG1_PATCH",""
"RUFY3","ENSG00000018189","RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30285]","RUFY3","protein_coding","4",""
"MAFF","ENSG00000185022","MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]","MAFF","protein_coding","22",""
"MAT2A","ENSG00000168906","methionine adenosyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:6904]","MAT2A","protein_coding","2","200768_s_at"
"ATP8A1","ENSG00000124406","ATPase phospholipid transporting 8A1 [Source:HGNC Symbol;Acc:HGNC:13531]","ATP8A1","protein_coding","4","210192_at"
"ZNF273","ENSG00000198039","zinc finger protein 273 [Source:HGNC Symbol;Acc:HGNC:13067]","ZNF273","protein_coding","7",""
NA,NA,NA,NA,NA,NA,NA
"MAN2C1","ENSG00000140400","mannosidase alpha class 2C member 1 [Source:HGNC Symbol;Acc:HGNC:6827]","MAN2C1","protein_coding","15","238230_x_at"
"HSPA4","ENSG00000170606","heat shock protein family A (Hsp70) member 4 [Source:HGNC Symbol;Acc:HGNC:5237]","HSPA4","protein_coding","5","208815_x_at"
